feature_set,horizon_week,classifier,auc_roc,auc_pr,brier,recall_at_p50,baseline_auc_pr,auc_pr_lift,training_rows,test_rows,train_positive_rate,test_positive_rate,n_features,fit_seconds
D,4,logreg,0.5992921370224913,0.23616705651926373,0.23373270022255863,0.005870841487279843,0.16740376740376742,1.410763092025543,11809,12210,0.16978575662630196,0.16740376740376742,41,0.01
D,4,rf,0.548418031710783,0.1872128735068969,0.23396024024390794,0.0,0.16740376740376742,1.118331304070064,11809,12210,0.16978575662630196,0.16740376740376742,41,0.36
D,4,hgb,0.597869976780743,0.22737446277932602,0.13803307089112768,0.0,0.16740376740376742,1.3582398192444083,11809,12210,0.16978575662630196,0.16740376740376742,41,0.18
A,4,logreg,0.5917885651992965,0.20271918650860474,0.26783328303775744,0.0,0.16740376740376742,1.2109595241047277,11809,12210,0.16978575662630196,0.16740376740376742,5,0.01
A,4,rf,0.5995477278738499,0.23207088326428166,0.22954592812020985,0.010763209393346379,0.16740376740376742,1.3862942684231305,11809,12210,0.16978575662630196,0.16740376740376742,5,0.28
A,4,hgb,0.615890431171323,0.24103109617113214,0.1376395025780767,0.0029354207436399216,0.16740376740376742,1.4398188279107256,11809,12210,0.16978575662630196,0.16740376740376742,5,0.14
E,4,logreg,0.5648510893338872,0.20219885930305148,0.2513690404573416,0.008317025440313111,0.16740376740376742,1.2078513072848622,11809,12210,0.16978575662630196,0.16740376740376742,9,0.01
E,4,rf,0.5250311319378166,0.18110538700844303,0.17598291190912008,0.0014677103718199608,0.16740376740376742,1.0818477374623725,11809,12210,0.16978575662630196,0.16740376740376742,9,0.54
E,4,hgb,0.546841703648977,0.18955502271852687,0.13901350034766038,0.0,0.16740376740376742,1.1323223225994192,11809,12210,0.16978575662630196,0.16740376740376742,9,0.07
All,4,logreg,0.6212812998933939,0.23379443631522864,0.252040252283428,0.0014677103718199608,0.16740376740376742,1.3965900525484058,11809,12210,0.16978575662630196,0.16740376740376742,55,0.02
All,4,rf,0.6355975878691607,0.2608078650027866,0.1558363575479166,0.008317025440313111,0.16740376740376742,1.5579569626634167,11809,12210,0.16978575662630196,0.16740376740376742,55,0.42
All,4,hgb,0.6456603166304319,0.27735670768136217,0.1339871196114244,0.04354207436399217,0.16740376740376742,1.656812818390133,11809,12210,0.16978575662630196,0.16740376740376742,55,0.13
D,8,logreg,0.5962007265055094,0.19875145247485396,0.2357304493898765,0.004742145820983995,0.14232683708765714,1.3964439633577024,11430,11853,0.14225721784776904,0.14232683708765714,41,0.01
D,8,rf,0.5426944727015829,0.15589650932029825,0.22118006123673312,0.0,0.14232683708765714,1.0953416271330736,11430,11853,0.14225721784776904,0.14232683708765714,41,0.33
D,8,hgb,0.5900099836490197,0.19234848188678347,0.12100195976622828,0.006520450503852994,0.14232683708765714,1.3514561682300203,11430,11853,0.14225721784776904,0.14232683708765714,41,0.11
A,8,logreg,0.6732910041852959,0.2589113450254127,0.20414267284046464,0.0017783046828689982,0.14232683708765714,1.8191322896183855,11430,11853,0.14225721784776904,0.14232683708765714,5,0.01
A,8,rf,0.6129361082614259,0.21388343531419177,0.18611137886791287,0.0,0.14232683708765714,1.5027625126135833,11430,11853,0.14225721784776904,0.14232683708765714,5,0.32
A,8,hgb,0.685376426483387,0.2714961577371308,0.11460941401666797,0.01007705986959099,0.14232683708765714,1.9075542131939605,11430,11853,0.14225721784776904,0.14232683708765714,5,0.12
E,8,logreg,0.5809811719411533,0.1838817808689512,0.25220361906894256,0.0,0.14232683708765714,1.2919684342855238,11430,11853,0.14225721784776904,0.14232683708765714,9,0.01
E,8,rf,0.545088431853403,0.16365106107392874,0.15162970212762908,0.0,0.14232683708765714,1.1498257420920435,11430,11853,0.14225721784776904,0.14232683708765714,9,0.49
E,8,hgb,0.5728484513332387,0.17541293326201896,0.12165431988067983,0.0,0.14232683708765714,1.2324656182304152,11430,11853,0.14225721784776904,0.14232683708765714,9,0.08
All,8,logreg,0.6857408862322318,0.2796200150882501,0.1976806911994353,0.023117960877296978,0.14232683708765714,1.9646330994908285,11430,11853,0.14225721784776904,0.14232683708765714,55,0.02
All,8,rf,0.6828987066037506,0.27855097177646476,0.12754669723403794,0.0005927682276229994,0.14232683708765714,1.9571219137323275,11430,11853,0.14225721784776904,0.14232683708765714,55,0.43
All,8,hgb,0.6823359383026584,0.28656855582290347,0.1142621726300319,0.07587433313574392,0.14232683708765714,2.0134541150971397,11430,11853,0.14225721784776904,0.14232683708765714,55,0.16
D,12,logreg,0.5861541418406827,0.15769119293211953,0.2372651824776086,0.0,0.11676802780191138,1.3504654989945652,11134,11510,0.11945392491467577,0.11676802780191138,41,0.01
D,12,rf,0.5366308417179582,0.12850391097319389,0.204333631367929,0.0,0.11676802780191138,1.1005059637659684,11134,11510,0.11945392491467577,0.11676802780191138,41,0.31
D,12,hgb,0.5869735749651032,0.15672314520464817,0.10219784526491629,0.000744047619047619,0.11676802780191138,1.3421751497808783,11134,11510,0.11945392491467577,0.11676802780191138,41,0.08
A,12,logreg,0.6728875444408533,0.19438171747329155,0.2170427901659989,0.004464285714285714,0.11676802780191138,1.6646827143732037,11134,11510,0.11945392491467577,0.11676802780191138,5,0.01
A,12,rf,0.619166735465089,0.17618898432219504,0.16666586482242737,0.001488095238095238,0.11676802780191138,1.5088803642473698,11134,11510,0.11945392491467577,0.11676802780191138,5,0.31
A,12,hgb,0.6746457100816915,0.21438887799847156,0.0987419380771075,0.001488095238095238,0.11676802780191138,1.836023798930363,11134,11510,0.11945392491467577,0.11676802780191138,5,0.11
E,12,logreg,0.5790571820283297,0.1509468893375103,0.25266694949098767,0.0,0.11676802780191138,1.2927073632996604,11134,11510,0.11945392491467577,0.11676802780191138,9,0.01
E,12,rf,0.5569615806188697,0.14162377218530003,0.12910341570032538,0.0,0.11676802780191138,1.2128642989976215,11134,11510,0.11945392491467577,0.11676802780191138,9,0.48
E,12,hgb,0.5694708537679285,0.14196558966327877,0.10326490311154402,0.0,0.11676802780191138,1.2157916198097758,11134,11510,0.11945392491467577,0.11676802780191138,9,0.1
All,12,logreg,0.669901802694322,0.20561534706491302,0.21722969985568674,0.0,0.11676802780191138,1.7608873844621644,11134,11510,0.11945392491467577,0.11676802780191138,55,0.02
All,12,rf,0.6811675809537863,0.22782634632993903,0.11193347845565188,0.003720238095238095,0.11676802780191138,1.9511021177511891,11134,11510,0.11945392491467577,0.11676802780191138,55,0.4
All,12,hgb,0.6855000884132918,0.23472047963656784,0.0976641159777845,0.006696428571428571,0.11676802780191138,2.0101433933161426,11134,11510,0.11945392491467577,0.11676802780191138,55,0.12
